question_id	exam_number	question_order	issue	answer_count	note
019f4117-e47c-7153-b210-7b590fa49b34	1	26	missing_distractors	1	Chỉ còn 1-2/4 đáp án; đáp án đúng + giải thích vẫn còn. Dùng được ở chế độ flashcard.
019f411c-8e29-7fe1-8181-1bb5e6e0df90	1	42	missing_distractors	1	Chỉ còn 1-2/4 đáp án; đáp án đúng + giải thích vẫn còn. Dùng được ở chế độ flashcard.
019f411f-3778-7033-adba-65f3389f82bb	1	43	distractors_recovered	4	ĐÃ khôi phục đủ 4 đáp án + giải thích từ cbap-scraper (CBAP_160_160_ALL_EXPLAIN.txt, câu 9).
019f4135-7199-7f62-a9ab-e95dff337476	1	100	distractors_recovered	4	ĐÃ khôi phục đủ 4 đáp án + giải thích từ cbap-scraper (CBAP_45_045_ALL_EXPLAIN.txt, câu 23).
019f413a-4a42-7bf3-81e4-c8f1e3f9ea31	1	103	missing_subquestion	4	Câu con của case study bị thiếu ở nguồn và không có bản sao ở đề khác để phục hồi.
019f4150-1574-7bb2-9a54-bf5d347d5057	2	11	missing_distractors	2	Chỉ còn 1-2/4 đáp án; đáp án đúng + giải thích vẫn còn. Dùng được ở chế độ flashcard.
019f4150-b03d-74f2-9bbd-c6e9635d4f1f	2	13	distractors_recovered	4	ĐÃ khôi phục đủ 4 đáp án + giải thích từ cbap-scraper (CBAP_261_261_ALL_EXPLAIN.txt, câu 109).
019f4156-7766-72e3-83be-b8fa04b745be	2	15	missing_distractors	1	Chỉ còn 1-2/4 đáp án; đáp án đúng + giải thích vẫn còn. Dùng được ở chế độ flashcard.
019f4156-fbbd-7540-9ce4-044f0e5cc341	2	16	distractors_recovered	4	ĐÃ khôi phục đủ 4 đáp án + giải thích từ cbap-scraper (CBAP_170_170_ALL_EXPLAIN.txt, câu 25).
019f415b-0a8f-7cf0-86eb-d5ee9bfb2d19	2	18	distractors_recovered	4	ĐÃ khôi phục đủ 4 đáp án + giải thích từ cbap-scraper (CBAP_158_158_ALL_EXPLAIN.txt, câu 13).
019f4161-08f9-7f11-95fd-546dd3aae52b	2	81	missing_distractors	1	Chỉ còn 1-2/4 đáp án; đáp án đúng + giải thích vẫn còn. Dùng được ở chế độ flashcard.
019f416c-9a9e-7b63-acee-16e5979c9df0	3	45	subquestion_recovered	4	Câu con bị thiếu ở nguồn nhưng ĐÃ phục hồi từ đề khác trùng context + trùng đáp án đúng.
019f416c-b151-7823-a3e6-db7fb1166dcb	3	46	subquestion_recovered	4	Câu con bị thiếu ở nguồn nhưng ĐÃ phục hồi từ đề khác trùng context + trùng đáp án đúng.
019f416c-deb7-7d23-9585-8a462c8aad70	3	48	subquestion_recovered	4	Câu con bị thiếu ở nguồn nhưng ĐÃ phục hồi từ đề khác trùng context + trùng đáp án đúng.
019f4401-cb10-7a03-8e6b-dbbca2b54220	5	82	subquestion_recovered	4	Câu con bị thiếu ở nguồn nhưng ĐÃ phục hồi từ đề khác trùng context + trùng đáp án đúng.
019f4401-e232-7452-80f1-f4c828815bbf	5	83	missing_subquestion	4	Câu con của case study bị thiếu ở nguồn và không có bản sao ở đề khác để phục hồi.
019f4498-d47d-7c70-9135-0ae54b2583f9	7	5	missing_all_answers	0	Đề bài còn nhưng phần đáp án trống hoàn toàn ở nguồn (không thể phục hồi).
019f449b-ad50-78a0-8a91-58880ee02f40	8	12	answers_recovered	4	ĐÃ khôi phục đủ 4 đáp án + giải thích từ cbap-scraper (CBAP_18_018_ALL_EXPLAIN.txt, câu 7).
019f44d3-392f-7e42-96e4-05e3a32f6e49	11	88	answers_recovered	4	ĐÃ khôi phục đủ 4 đáp án + giải thích từ cbap-scraper (CBAP_162_162_ALL_EXPLAIN.txt, câu 17).
019f44d8-c78b-7612-8bd3-121161dc9679	11	97	missing_all_answers	0	Đề bài còn nhưng phần đáp án trống hoàn toàn ở nguồn (không thể phục hồi).
019f44dc-7289-7961-96b9-fe56b204ba08	11	111	subquestion_recovered	4	Câu con bị thiếu ở nguồn nhưng ĐÃ phục hồi từ đề khác trùng context + trùng đáp án đúng.
019f44dc-89ef-7cc2-90bd-c6a2cff3ba91	11	112	missing_subquestion	4	Câu con của case study bị thiếu ở nguồn và không có bản sao ở đề khác để phục hồi.
019f44f7-cee4-7252-a0ba-43f767985937	14	21	answers_recovered	4	ĐÃ khôi phục đủ 4 đáp án + giải thích từ cbap-scraper (CBAP_156_156_ALL_EXPLAIN.txt, câu 11).
019f44fa-72de-7a20-86ec-6dea77644df1	14	22	answers_recovered	4	ĐÃ khôi phục đủ 4 đáp án + giải thích từ cbap-scraper (CBAP_152_152_ALL_EXPLAIN.txt, câu 30).
